wav_grid1,wav_grid2
15065.40624724244,15111.610266474168
15111.610266474168,15157.814285705901
15157.814285705901,15204.018304937626
15204.018304937626,15250.222324169361
15250.222324169361,15296.426343401092
15296.426343401092,15342.630362632824
15342.630362632824,15388.834381864552
15388.834381864552,15435.038401096284
15435.038401096284,15481.242420328013
15481.242420328013,15527.446439559746
15527.446439559746,15573.650458791477
15573.650458791477,15619.854478023208
15619.854478023208,15666.058497254942
15666.058497254942,15712.26251648667
15712.26251648667,15758.4665357184
15758.4665357184,15804.670554950131
15804.670554950131,15850.874574181862
15850.874574181862,15897.078593413591
15897.078593413591,15943.282612645327
15943.282612645327,15989.486631877056
15989.486631877056,16035.69065110879
16035.69065110879,16081.894670340514
16081.894670340514,16128.098689572249
16128.098689572249,16174.302708803976
16174.302708803976,16220.50672803571
16220.50672803571,16266.710747267442
16266.710747267442,16312.914766499172
16312.914766499172,16359.118785730901
16359.118785730901,16405.322804962634
16405.322804962634,16451.526824194367
16451.526824194367,16497.730843426096
16497.730843426096,16543.934862000002
